Title,Location,Area,Features,Price
Apartment De Clercqstraat 125 2,            1053 AK Amsterdam (Kinkerbuurt)        , ,70 m²3 roomsUpholstered,"                €1,800 per month            "
Apartment Nieuwe Looiersstraat,            1017 VC Amsterdam (De Weteringschans)        , ,61 m²2 roomsFurnished,"                €1,595 per month            "
Apartment Dichtershofje 1,            1053 RR Amsterdam (Kinkerbuurt)        , ,86 m²3 roomsUpholstered or furnished,"                €2,450 per month            "
Apartment Borneostraat,            1094 CG Amsterdam (Indische Buurt West)        , ,49 m²4 roomsUpholstered,"                €1,550 per month            "
Apartment Kattenburgerhof,            1018 KE Amsterdam (Oostelijke Eilanden/Kadijken)        , ,84 m²3 roomsUpholstered or furnished,"                €1,550 per month            "
Apartment Olympiaplein,            1076 AL Amsterdam (Stadionbuurt)        , ,123 m²5 rooms1906-1930,"                €2,300 per month            "
Apartment Afroditekade,            1076 DZ Amsterdam (Stadionbuurt)        , ,110 m²3 roomsFurnished,"                €2,150 per month            "
Apartment Veembroederhof,            1019 HC Amsterdam (Oostelijk Havengebied)        , ,70 m²2 roomsFurnished,"                €2,200 per month            "
Apartment Borssenburgplein,            1078 TZ Amsterdam (IJselbuurt)        , ,75 m²3 roomsUpholstered,"                €1,850 per month            "
Apartment Sassenheimstraat,            1059 BA Amsterdam (Hoofddorppleinbuurt)        , ,55 m²3 rooms1906-1930,"                €1,750 per month            "
Apartment Nieuwe Spiegelstraat 68 1,            1017 DH Amsterdam (Grachtengordel-Zuid)        , ,78 m²2 roomsBefore 1906,"                €1,900 per month            "
Apartment Pretoriusstraat,            1092 EX Amsterdam (Transvaalbuurt)        , ,65 m²2 roomsUpholstered,"                €1,675 per month            "
Apartment Bachstraat 1 hs,            1077 GD Amsterdam (Apollobuurt)        , ,180 m²5 roomsUpholstered,"                €5,000 per month            "
Apartment Saxen-Weimarlaan 46 3,            1075 CD Amsterdam (Willemspark)        , ,150 m²4 roomsUpholstered,"                €4,850 per month            "
Apartment Wijttenbachstraat 64 E,            1093 JG Amsterdam (Dapperbuurt)        , ,36 m²2 roomsFurnished,"                €1,550 per month            "
Apartment B. Merkelbachsingel,            1022 KE Amsterdam (Elzenhagen)        , ,62 m²3 roomsUpholstered,"                €1,450 per month            "
Apartment Rijswijkstraat 28,            1062 EE Amsterdam (Westlandgracht)        , ,133 m²3 roomsFurnished,"                €2,450 per month            "
Studio Bos en Lommerplantsoen,            1055 AA Amsterdam (De Kolenkit)        , ,30 m²1 roomFurnished,"                €1,350 per month            "
House Van Hogendorpstraat,            1051 BM Amsterdam (Staatsliedenbuurt)        , ,45 m²2 roomsFurnished,"                €1,450 per month            "
Apartment Van Houweningenstraat,            1052 TR Amsterdam (Frederik Hendrikbuurt)        , ,60 m²2 roomsUpholstered,"                €1,450 per month            "
Apartment Tweede Helmersstraat,            1054 CK Amsterdam (Helmersbuurt)        , ,55 m²2 roomsUpholstered,"                €1,700 per month            "
Apartment Binnenkant,            1011 BK Amsterdam (Nieuwmarkt/Lastage)        , ,64 m²2 roomsFurnished,"                €2,100 per month            "
Apartment Charlotte Brontéstraat,"            1102 XC Amsterdam (Bijlmer Centrum (D,F,H))        ", ,65 m²3 roomsUpholstered,"                €1,600 per month            "
Apartment Emmalaan,            1075 AT Amsterdam (Willemspark)        , ,90 m²3 roomsFurnished,"                €3,500 per month            "
Apartment Elandsgracht 110 34,            1016 VA Amsterdam (Jordaan)        , ,95 m²5 roomsFurnished,"                €2,900 per month            "
Apartment Van Ostadestraat,            1072 SZ Amsterdam (Nieuwe Pijp)        , ,120 m²3 roomsFurnished,"                €2,450 per month            "
Apartment Raamgracht,            1011 KJ Amsterdam (Nieuwmarkt/Lastage)        , ,62 m²2 rooms,"                €1,950 per month            "
House Ottho Heldringstraat,            1066 XT Amsterdam (Slotervaart Zuid)        , ,148 m²5 roomsFurnished,"                €2,500 per month            "
Apartment Jan van Galenstraat,            1056 CD Amsterdam (Landlust)        , ,50 m²3 roomsUpholstered,"                €1,450 per month            "
Apartment Ribesstraat,            1032 JS Amsterdam (Volewijck)        , ,80 m²3 roomsUpholstered,"                €1,500 per month            "
